part_id,part_name,spec_required,supplier_candidates,search_terms,unit_price_est,min_order,lead_time_est,date_checked,url_source,substitute_acceptable,substitute_risk,sourcing_notes
SKZ-T-01,Arka Tube Toyo (Bamboo),Cañahueca bamboo OD ~1.0-in bore ~0.75-in wall ~0.125-in; 10-ft blanks minimum; straight grain no cracks,Bamboo Craftsman (US); Tropical Bamboo (FL); Amazon - bamboo tube bulk,bamboo cane tube 1 inch bore panflute,TBD per ft,5 ft min,1-2 weeks,TBD,TBD,PVC Sch40 1-in nominal (ID ~0.824-in — measure actual),PVC ID may be slightly oversized vs 0.75-in bore spec; recalculate lengths if actual ID differs
SKZ-T-01-ALT,Arka Tube Toyo (PVC),PVC Schedule 40 pipe — 1-in nominal (actual ID ~0.824-in verify); length 36-in minimum per stick,Home Depot; Lowes; local plumbing supply,PVC pipe 1 inch Schedule 40,~$0.50/ft,10-ft stick,In stock,TBD,TBD,Bamboo preferred,PVC adds slight weight; tone quality differs from bamboo; adequate for prototyping
SKZ-Z-01,Arka Tube Zanka (Bamboo),Cañahueca bamboo OD ~0.82-in bore ~0.625-in; 10-ft blanks; straight consistent bore,Same as Toyo suppliers — specify smaller bore,bamboo tube 5/8 bore panpipe zampoña,TBD per ft,5 ft min,1-2 weeks,TBD,TBD,PVC Sch40 3/4-in nominal (ID ~0.622-in — close match),Minimal substitution risk if actual PVC ID verified
SKZ-Z-01-ALT,Arka Tube Zanka (PVC),PVC Schedule 40 3/4-in nominal (actual ID ~0.622-in); verify with calipers,Home Depot; Lowes,PVC pipe 3/4 inch Schedule 40,~$0.40/ft,10-ft stick,In stock,TBD,TBD,Bamboo preferred,ID match is excellent for Zanka — good prototyping option
SKZ-M-01,Arka Tube Malta (Bamboo),Bamboo OD ~0.66-in bore ~0.50-in; harder to source in this exact size,Bamboo specialty suppliers; try 0.5-in ID bamboo arrow shaft suppliers,bamboo arrow shaft 1/2 inch bore,TBD,5 ft min,2-3 weeks,TBD,TBD,PVC 1/2-in nominal (ID ~0.622-in — oversized for 0.5-in spec),Oversized PVC bore will affect tube lengths; recalculate with actual measured ID
SKZ-C-01,Arka Tube Chili (Bamboo),Fine bamboo cane OD ~0.49-in bore ~0.375-in; thin-wall; arrow shaft size,Archery supply; Bamboo Craftsman small-bore section,bamboo arrow shaft 3/8 bore,TBD,10 pc min,1-3 weeks,TBD,TBD,Thin-wall PVC or hardwood dowel bored to 3/8-in,Hardwood dowel feasible on lathe; hardest size to source in bamboo
SKZ-PLUG,Beeswax Block,Raw beeswax food/craft grade; block or pellets; 2+ oz for full family build,Amazon; local beekeeping supply; woodworking stores,beeswax block craft raw,~$3/2 oz,1 block,In stock,TBD,TBD,Paraffin wax (slightly lower density),Paraffin may leak at high temperatures — not recommended for instruments stored in cars
SKZ-CORD,Binding Cord,Waxed cotton thread or linen cord 1/16-in dia 50-ft spool,Tandy Leather; Amazon bookbinding cord; craft stores,waxed linen cord 1/16 bookbinding,~$5/spool,1 spool,In stock,TBD,TBD,Waxed polyester cord,Any non-stretch waxed or resin-treated cord works; avoid elastic
SKZ-RAIL,Cherry Frame Rail Stock,Cherry S4S 3/4 × 4 × 24-in minimum (mill down to 3/8 × 1.5-in); straight grain no defects,Woodcraft; Rockler; local hardwood dealer,cherry lumber S4S,~$4-6/bf,1 bf,In stock,TBD,TBD,Walnut or hard maple of same dimensions,Any hard dense species suitable; avoid softwood (poor pocket durability)
SKZ-GLUE,Titebond III,Frame-to-tube bond; waterproof; open time 10 min,Amazon; Home Depot; Woodcraft,Titebond III wood glue,~$8/8 oz,1 bottle,In stock,TBD,TBD,West System epoxy for PVC tubes (Titebond won't bond PVC),Use epoxy for PVC tubes; Titebond for bamboo-to-wood
SKZ-FINISH,Danish Oil,Frame rail exterior finish; 3 coats; wipe-on,Home Depot; Amazon,Watco Danish Oil Natural,~$12/pint,1 pint,In stock,TBD,TBD,Tung oil or linseed oil,Any penetrating oil-varnish blend suitable
SKZ-TUNER,Chromatic Tuner,±1 cent accuracy; clips to tube or microphone pickup; battery operated,Amazon; Guitar Center; Sweetwater,chromatic tuner Korg CA-1 clip,~$15-25,1,In stock,TBD,TBD,Phone app (PitchLab Pro or equivalent),Phone microphone adequate if quiet environment; dedicated tuner more reliable in shop
