op_id,op_name,machine,member,setup_ref,sequence,tool,tool_diameter_in,rpm_min,rpm_max,feed_ipm,plunge_ipm,depth_of_cut_in,pocket_width_in,pocket_depth_in,pocket_pitch_in,num_features,datum_x,datum_y,datum_z,release_check_1,release_check_2,release_check_3,notes
OP-01-TY,Frame rail pocket routing — Toyo,CNC Router,Toyo,cnc/setup-sheet.md §1,1,Up-cut spiral end mill,0.500,18000,22000,80,20,0.333,0.995,0.333,1.063,13,Left rail end,Rail centerline,Top of stock,Pocket width ±0.003" on first pocket,Pitch C-C ±0.005" first two pockets,Tube drops in light fit,Two-pass: rough 0.005" stock-to-leave then finish
OP-01-ZK,Frame rail pocket routing — Zanka,CNC Router,Zanka,cnc/setup-sheet.md §1,1,Up-cut spiral end mill,0.375,18000,22000,80,20,0.274,0.816,0.274,0.884,13,Left rail end,Rail centerline,Top of stock,Pocket width ±0.003" on first pocket,Pitch C-C ±0.005" first two pockets,Tube drops in light fit,Two-pass preferred; one-pass acceptable on sharp bit
OP-01-MT,Frame rail pocket routing — Malta,CNC Router,Malta,cnc/setup-sheet.md §1,1,Up-cut spiral end mill,0.375,18000,22000,80,20,0.219,0.653,0.219,0.721,13,Left rail end,Rail centerline,Top of stock,Pocket width ±0.003" on first pocket,Pitch C-C ±0.005" first two pockets,Tube drops in light fit,3/8" bit leaves small flat at pocket corners — acceptable
OP-01-CH,Frame rail pocket routing — Chili,CNC Router,Chili,cnc/setup-sheet.md §1,1,Up-cut spiral end mill,0.250,18000,22000,60,15,0.164,0.488,0.164,0.556,13,Left rail end,Rail centerline,Top of stock,Pocket width ±0.003" on first pocket,Pitch C-C ±0.005" first two pockets,Tube drops in light fit,Single pass; 1/4" bit at minimum recommended diameter — use sharp bit only
OP-02-MT,Tube boring — Malta,Drill Press + V-block,Malta,cnc/setup-sheet.md §2,2,Brad-point or Forstner,0.500,1200,1500,,,0.500,,,,,V-block center,Table surface,Drill tip touch-off,Bore ID 0.490–0.500" at 3 depths,No taper > 0.005" entry-to-exit,No surface cracks at entry,Pilot at 1/8" then 1/4" then 1/2"; skip if PVC pre-bored
OP-02-CH,Tube boring — Chili,Drill Press + V-block,Chili,cnc/setup-sheet.md §2,2,Brad-point or Forstner,0.375,1200,1500,,,0.375,,,,,V-block center,Table surface,Drill tip touch-off,Bore ID 0.365–0.375" at 3 depths,No taper > 0.005" entry-to-exit,No surface cracks at entry,Pilot at 1/8" then 1/4" then 3/8"; skip if PVC pre-bored
OP-03-ZK,Tube boring — Zanka (lathe),Lathe 4-jaw,Zanka,cnc/setup-sheet.md §3,2,5/8" brad-point or twist drill HSS,0.625,600,800,,,0.625,,,,,Chuck face,Spindle centerline,,Bore ID 0.615–0.625" at 3 points,Wall thickness variance ≤ 0.010" at 4 compass points,OD runout ≤ 0.003" TIR before boring,Peck cycle every 1/2"; steady rest for tubes > 12"; skip if PVC pre-bored
OP-04-TY,Tube boring — Toyo (headstock deep bore),Lathe headstock-driven,Toyo,cnc/setup-sheet.md §4,2,3/4" brad-point HSS in headstock chuck,0.750,400,600,,,0.750,,,,,Headstock chuck face,Spindle centerline,,First piece is sacrificial blank,Bore ID 0.740–0.750" at 3 points,Wall thickness variance ≤ 0.015" at 4 compass points,Tailstock carrier jig required; smoke → stop and cool; skip if PVC pre-bored
OP-05-TY,Sealing stand drilling — Toyo,Drill Press,Toyo,cnc/setup-sheet.md §5,3,Forstner or spade,1.010,800,1000,,,0.750,,,1.063,13,Layout from end,Table surface,Drill tip touch-off,First hole: tube stands plumb (≤2° lean),All 13 holes: tube fits without binding,Stand labeled with member ID,3/4" plywood 6"×14"; back with sacrificial scrap
OP-05-ZK,Sealing stand drilling — Zanka,Drill Press,Zanka,cnc/setup-sheet.md §5,3,Forstner or spade,0.831,800,1000,,,0.750,,,0.884,13,Layout from end,Table surface,Drill tip touch-off,First hole: tube stands plumb (≤2° lean),All 13 holes: tube fits without binding,Stand labeled with member ID,3/4" plywood 5"×12"
OP-05-MT,Sealing stand drilling — Malta,Drill Press,Malta,cnc/setup-sheet.md §5,3,Forstner or spade,0.668,1000,1200,,,0.500,,,0.721,13,Layout from end,Table surface,Drill tip touch-off,First hole: tube stands plumb (≤2° lean),All 13 holes: tube fits without binding,Stand labeled with member ID,1/2" plywood 4"×10"
OP-05-CH,Sealing stand drilling — Chili,Drill Press,Chili,cnc/setup-sheet.md §5,3,Brad-point or spade,0.503,1200,1500,,,0.375,,,0.556,13,Layout from end,Table surface,Drill tip touch-off,First hole: tube stands plumb (≤2° lean),All 13 holes: tube fits without binding,Stand labeled with member ID,1/2" plywood 3"×8"
OP-06-TY,Tube length marking — Toyo,Story stick / miter saw,Toyo,cnc/setup-sheet.md §6,4,Story stick (MDF 1/4"×1"×25"),,,,,,,,,,,,,Story stick matches cut-list.csv before marking,All 13 marks labeled with tube ID and note name,First tube cut 1/32" long and measured before batch cut,Bamboo: story stick method; PVC: digital stop
OP-06-ZK,Tube length marking — Zanka,Story stick / miter saw,Zanka,cnc/setup-sheet.md §6,4,Story stick (MDF 1/4"×1"×25"),,,,,,,,,,,,,Story stick matches cut-list.csv before marking,All 13 marks labeled with tube ID and note name,First tube cut 1/32" long and measured before batch cut,Bamboo: story stick method; PVC: digital stop
OP-06-MT,Tube length marking — Malta,Story stick / miter saw,Malta,cnc/setup-sheet.md §6,4,Story stick (MDF 1/4"×1"×13"),,,,,,,,,,,,,Story stick matches cut-list.csv before marking,All 13 marks labeled with tube ID and note name,First tube cut 1/32" long and measured before batch cut,
OP-06-CH,Tube length marking — Chili,Story stick / miter saw,Chili,cnc/setup-sheet.md §6,4,Story stick (MDF 1/4"×1"×9"),,,,,,,,,,,,,Story stick matches cut-list.csv before marking,All 13 marks labeled with tube ID and note name,First tube cut 1/32" long and measured before batch cut,Chili Arka-7 (F#6) is borderline — see risks.md AC-04; consider omitting
OP-07-TY,Tuning trim — Toyo,Miter saw + file,Toyo,cnc/setup-sheet.md §7,5,80T ATB blade (rough) + fine mill file (final),,,,,,,,,,,,,All trims recorded in validation.csv same session,No tube trimmed > 3/16" below L_calc,Final measurement ±5 cents of target,Compute trim from cents_flat before cutting; empirical trim is more accurate than formula
OP-07-ZK,Tuning trim — Zanka,Miter saw + file,Zanka,cnc/setup-sheet.md §7,5,80T ATB blade (rough) + fine mill file (final),,,,,,,,,,,,,All trims recorded in validation.csv same session,No tube trimmed > 3/16" below L_calc,Final measurement ±5 cents of target,Primary melodic voice — tune Zanka first
OP-07-MT,Tuning trim — Malta,Miter saw + file,Malta,cnc/setup-sheet.md §7,5,80T ATB blade (rough) + fine mill file (final),,,,,,,,,,,,,All trims recorded in validation.csv same session,No tube trimmed > 3/16" below L_calc,Final measurement ±5 cents of target,
OP-07-CH,Tuning trim — Chili,Miter saw + file,Chili,cnc/setup-sheet.md §7,5,80T ATB blade (rough) + fine mill file (final),,,,,,,,,,,,,All trims recorded in validation.csv same session,No tube trimmed > 3/16" below L_calc,Final measurement ±5 cents of target,Chili tubes short — use file-only method; miter saw overkill and higher over-cut risk
