part_id,assembly,part_name,description,qty_per_instrument,unit,material_spec,make_buy,drawing_ref,estimated_cost_each,estimated_cost_total,notes
SKZ-T-01,SKZ-TOYO Arka,Arka Tube (Toyo),Bamboo or PVC closed-pipe tube — 7 unique lengths for arka,7,pc,Bamboo cañahueca ~1.0-in OD / 0.750-in bore OR PVC Sch40 1-in nominal,Buy (bamboo) or Buy+bore (PVC),drawings/siku-toyo-elevation.svg,0.50,3.50,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-T-02,SKZ-TOYO Ira,Ira Tube (Toyo),Bamboo or PVC closed-pipe tube — 6 unique lengths for ira,6,pc,Same bore spec as T-01,Buy (bamboo) or Buy+bore (PVC),drawings/siku-toyo-elevation.svg,0.50,3.00,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-T-03,SKZ-TOYO Shared,Bottom Plug (Toyo),Beeswax pour plug sealing closed end of each tube,13,pc,Beeswax — food grade or filtered; pour depth 3/8",Make,drawings/siku-wax-plug-detail.svg,0.10,1.30,Melt to 160°F; pour in sealing stand fixture; 30 min cure
SKZ-T-04,SKZ-TOYO Shared,Frame Rail — Top (Toyo),Cherry or walnut S4S rail with 13 CNC-routed tube pockets,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 15",Make,drawings/siku-frame-rail-detail.svg,6.00,6.00,Pocket width = 0.995"; depth = 0.333"; pitch = 1.063" C-C
SKZ-T-05,SKZ-TOYO Shared,Frame Rail — Bottom (Toyo),Cherry or walnut S4S rail — bottom binding rail,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 15",Make,drawings/siku-frame-rail-detail.svg,6.00,6.00,Same spec as top rail; Danish oil finish before tube insertion
SKZ-T-06,SKZ-TOYO Shared,Binding Cord (Toyo),Waxed linen or nylon cord for tube array binding,1,lot,Waxed linen 1mm or equivalent; ~100 ft per instrument,Buy,,0.25,0.25,3+ wraps per tube; square knot finish at rail ends
SKZ-T-07,SKZ-TOYO Shared,Wood Glue / Epoxy,Adhesive for rail pocket bonding (optional),1,lot,Titebond II or 5-min epoxy,Buy,,0.50,0.50,Thin film in pockets before tube insertion; wipe squeeze-out
SKZ-Z-01,SKZ-ZANKA Arka,Arka Tube (Zanka),Bamboo or PVC closed-pipe tube — 7 unique lengths for arka,7,pc,Bamboo cañahueca ~0.821-in OD / 0.625-in bore OR PVC 1/2-in nominal Sch40,Buy (bamboo) or Buy+bore (PVC),drawings/siku-zanka-elevation.svg,0.40,2.80,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-Z-02,SKZ-ZANKA Ira,Ira Tube (Zanka),Bamboo or PVC closed-pipe tube — 6 unique lengths for ira,6,pc,Same bore spec as Z-01,Buy (bamboo) or Buy+bore (PVC),drawings/siku-zanka-elevation.svg,0.40,2.40,Cut to L_cut lengths from family-spec.csv; seal bottom end
SKZ-Z-03,SKZ-ZANKA Shared,Bottom Plug (Zanka),Beeswax pour plug sealing closed end of each tube,13,pc,Beeswax — pour depth 3/8",Make,drawings/siku-wax-plug-detail.svg,0.08,1.04,See assembly-manual.md Phase 3
SKZ-Z-04,SKZ-ZANKA Shared,Frame Rail — Top (Zanka),Cherry or walnut S4S rail with 13 CNC-routed tube pockets,1,pc,Cherry or walnut S4S 3/4" x 1.5" x 12.5",Make,drawings/siku-frame-rail-detail.svg,5.00,5.00,Pocket width = 0.816"; depth = 0.274"; pitch = 0.884" C-C
